Participant,Sex,Posture,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
1,M,sit,6,1,4.9546066,94.45754987,94.45754987,7.871462489,8.275127232,0,1.05,0,0.024390244,0.024390244,1,1,0.952380952,0.047619048,40,0,1,1,40,40,42
1,M,sit,7,1,3.2190578,111.8339658,111.8339658,9.319497152,9.319497152,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
1,M,sit,8,1,6.1303156,45.02215188,45.02215188,3.75184599,8.64555815,0,2.25,0,0.384615385,0.384615385,1,1,0.444444444,0.555555556,24,0,15,15,24,24,54
1,M,sit,9,1,4.4078726,89.83925715,89.83925715,7.486604763,7.486604763,0,1,0,0,0,1,1,1,0,34,0,0,0,34,34,34
1,M,sit,10,1,2.987522,104.4343774,104.4343774,8.702864782,8.702864782,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
1,M,sit,11,1,2.9020792,111.644093,111.644093,9.303674414,9.303674414,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
1,M,sit,12,1,3.1650621,117.5332389,117.5332389,9.794436577,10.42633571,0,1.0625,0,0.03030303,0.03030303,1,1,0.941176471,0.058823529,32,0,1,1,32,32,34
1,M,sit,13,1,4.2517653,73.38128471,73.38128471,6.115107059,6.58549991,0,1.074074074,0,0.035714286,0.035714286,1,1,0.931034483,0.068965517,27,0,1,1,27,27,29
1,M,sit,14,1,2.8532092,134.5852943,134.5852943,11.2154412,11.2154412,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
1,M,sit,15,1,3.1807405,120.7266044,120.7266044,10.06055037,10.06055037,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
1,M,sit,16,1,2.13214,129.4474096,124.2695133,10.78728414,10.78728414,1,1,0.04,0,0.04,1,0,0.96,0.04,24,1,0,0,25,24,24
1,M,sit,17,1,5.5954849,79.34969139,79.34969139,6.612474283,6.969905325,0,1.052631579,0,0.025641026,0.025641026,1,1,0.95,0.05,38,0,1,1,38,38,40
1,M,sit,18,1,3.8687973,83.74695671,83.74695671,6.978913059,8.012826105,0,1.142857143,0,0.066666667,0.066666667,1,1,0.875,0.125,28,0,2,2,28,28,32
1,M,sit,19,1,2.9959317,108.1466577,108.1466577,9.012221474,9.012221474,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
1,M,sit,20,1,5.5344529,88.89767587,88.89767587,7.408139656,7.769512322,0,1.047619048,0,0.023255814,0.023255814,1,1,0.954545455,0.045454545,42,0,1,1,42,42,44
1,M,sit,21,1,4.6231831,85.65527072,85.65527072,7.137939226,7.570541604,0,1.058823529,0,0.028571429,0.028571429,1,1,0.944444444,0.055555556,34,0,1,1,34,34,36
1,M,sit,22,1,2.3411723,123.0152945,123.0152945,10.25127454,10.25127454,0,1,0,0,0,1,1,1,0,25,0,0,0,25,25,25
1,M,sit,23,1,3.3706417,113.9248945,113.9248945,9.493741207,9.493741207,0,1,0,0,0,1,1,1,0,33,0,0,0,33,33,33
1,M,sit,24,1,2.4945171,101.0215564,101.0215564,8.418463036,9.220221421,0,1.090909091,0,0.043478261,0.043478261,1,1,0.916666667,0.083333333,22,0,1,1,22,22,24
1,M,sit,25,1,3.3804839,70.995753,70.995753,5.91631275,7.691206575,0,1.285714286,0,0.125,0.125,1,1,0.777777778,0.222222222,21,0,3,3,21,21,27
1,M,sit,26,1,2.6775467,116.5245783,116.5245783,9.710381522,9.710381522,0,1,0,0,0,1,1,1,0,27,0,0,0,27,27,27
1,M,sit,27,1,2.1337039,123.728508,123.728508,10.310709,10.310709,0,1,0,0,0,1,1,1,0,23,0,0,0,23,23,23
1,M,sit,28,1,2.4167302,134.065441,124.4893381,11.17212008,11.17212008,2,1,0.071428571,0,0.071428571,1,0,0.928571429,0.071428571,26,2,0,0,28,28,28
1,M,sit,29,1,4.0964467,90.81040893,90.81040893,7.567534078,9.032218093,0,1.1875,0,0.085714286,0.085714286,1,1,0.842105263,0.157894737,32,0,3,3,32,32,38
1,M,sit,30,1,3.0031233,91.90431841,91.90431841,7.658693201,8.990639845,0,1.166666667,0,0.076923077,0.076923077,1,1,0.857142857,0.142857143,24,0,2,2,24,24,28
