,,,Trial,Testing?,Seconds,WPM,AdjWPM,CPS,KSPS,MSD,KSPC,UncErrRate,CorErrRate,TotErrRate,Effic,Consc,UtilBand,WasteBand,|C|,|INF|,|IF|,|F|,|P|,|T|,|IS|
2,M,stand,6,1,2.321485,155.0731536,155.0731536,12.9227628,12.9227628,0,1,0,0,0,1,1,1,0,31,0,0,0,31,31,31
2,M,stand,7,1,3.649121,101.9423582,98.94405352,8.495196514,9.591350903,1,1.125,0.029411765,0.058823529,0.088235294,1,0.666666667,0.861111111,0.138888889,31,1,2,2,31,32,36
2,M,stand,8,1,2.3064717,109.2577897,109.2577897,9.10481581,10.83906644,0,1.181818182,0,0.083333333,0.083333333,1,1,0.846153846,0.153846154,22,0,2,2,22,22,26
2,M,stand,9,1,2.7412167,126.9509266,126.9509266,10.57924388,11.30884691,0,1.066666667,0,0.032258065,0.032258065,1,1,0.9375,0.0625,30,0,1,1,30,30,32
2,M,stand,10,1,2.142112,117.6409077,117.6409077,9.803408972,11.67072497,0,1.181818182,0,0.083333333,0.083333333,1,1,0.846153846,0.153846154,22,0,2,2,22,22,26
2,M,stand,11,1,4.4469525,83.65279368,83.65279368,6.97106614,8.770050951,0,1.25,0,0.111111111,0.111111111,1,1,0.8,0.2,32,0,4,4,32,32,40
2,M,stand,12,1,2.8889392,112.151893,112.151893,9.345991082,9.345991082,0,1,0,0,0,1,1,1,0,28,0,0,0,28,28,28
2,M,stand,13,1,1.7379429,138.0942953,131.5183765,11.50785794,11.50785794,1,1,0.047619048,0,0.047619048,1,0,0.952380952,0.047619048,20,1,0,0,21,21,21
2,M,stand,14,1,4.8629644,74.02891948,70.02735626,6.169076623,8.636707273,2,1.387096774,0.054054054,0.162162162,0.216216216,1,0.75,0.674418605,0.325581395,29,2,6,6,31,31,43
2,M,stand,15,1,1.6139746,178.4414699,178.4414699,14.87012249,14.87012249,0,1,0,0,0,1,1,1,0,25,0,0,0,25,25,25
2,M,stand,16,1,5.1001203,72.93945596,70.96811931,6.078287996,7.646878447,1,1.25,0.027027027,0.108108108,0.135135135,1,0.8,0.780487805,0.219512195,32,1,4,4,33,32,40
2,M,stand,17,1,4.0001181,119.9964571,119.9964571,9.999704759,11.24966785,0,1.12195122,0,0.046511628,0.046511628,0.666666667,1,0.891304348,0.108695652,41,0,2,3,41,41,46
2,M,stand,18,1,4.0391612,101.0110713,101.0110713,8.417589276,9.407893896,0,1.114285714,0,0.054054054,0.054054054,1,1,0.897435897,0.102564103,35,0,2,2,35,35,39
2,M,stand,19,1,1.7195874,153.5252003,153.5252003,12.79376669,12.79376669,0,1,0,0,0,1,1,1,0,23,0,0,0,23,23,23
2,M,stand,20,1,2.6568169,112.9170776,112.9170776,9.409756465,10.16253698,0,1.076923077,0,0.037037037,0.037037037,1,1,0.928571429,0.071428571,26,0,1,1,26,26,28
2,M,stand,21,1,4.8977307,100.4546861,100.4546861,8.37122384,10.41298575,0,1.238095238,0,0.106382979,0.106382979,1,1,0.807692308,0.192307692,42,0,5,5,42,42,52
2,M,stand,22,1,1.6582802,115.7826042,115.7826042,9.648550348,10.85461914,0,1.117647059,0,0.055555556,0.055555556,1,1,0.894736842,0.105263158,17,0,1,1,17,17,19
2,M,stand,23,1,3.7588213,79.81225391,79.81225391,6.651021159,10.37559301,0,1.538461538,0,0.212121212,0.212121212,1,1,0.65,0.35,26,0,7,7,26,26,40
2,M,stand,24,1,2.9952094,132.2111235,132.2111235,11.01759363,11.01759363,0,1,0,0,0,1,1,1,0,34,0,0,0,34,34,34
2,M,stand,25,1,8.2765701,46.39603065,45.38742128,3.866335887,6.766087802,1,1.727272727,0.02173913,0.260869565,0.282608696,1,0.923076923,0.568965517,0.431034483,33,1,12,12,34,33,57
2,M,stand,26,1,3.2625566,106.6648162,103.432549,8.888734681,10.72778324,1,1.2,0.03030303,0.090909091,0.121212121,1,0.75,0.805555556,0.194444444,29,1,3,3,30,30,36
2,M,stand,27,1,3.0641124,113.5728572,113.5728572,9.464404765,11.09619869,0,1.166666667,0,0.0625,0.0625,0.666666667,1,0.857142857,0.142857143,30,0,2,3,30,30,35
2,M,stand,28,1,2.0374632,100.1245078,100.1245078,8.343708981,9.325321802,0,1.111111111,0,0.052631579,0.052631579,1,1,0.9,0.1,18,0,1,1,18,18,20
2,M,stand,29,1,1.8449957,143.0897644,131.1656174,11.92414703,11.92414703,2,1,0.083333333,0,0.083333333,1,0,0.916666667,0.083333333,22,2,0,0,24,23,23
2,M,stand,30,1,4.7466411,93.53982967,93.53982967,7.794985806,8.637686974,0,1.105263158,0,0.05,0.05,1,1,0.904761905,0.095238095,38,0,2,2,38,38,42
